timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:38:15.387, 75, N/A, 174.64 W
2026/06/03 09:38:20.387, 73, N/A, 186.27 W
2026/06/03 09:38:25.388, 75, N/A, 171.88 W
2026/06/03 09:38:30.388, 74, N/A, 178.60 W
2026/06/03 09:38:35.388, 74, N/A, 190.70 W
2026/06/03 09:38:40.389, 72, N/A, 178.07 W
2026/06/03 09:38:45.390, 74, N/A, 190.42 W
2026/06/03 09:38:50.390, 75, N/A, 181.14 W
2026/06/03 09:38:55.391, 73, N/A, 169.28 W
2026/06/03 09:39:00.391, 73, N/A, 180.92 W
2026/06/03 09:39:05.392, 75, N/A, 184.60 W
2026/06/03 09:39:10.392, 75, N/A, 180.89 W
2026/06/03 09:39:15.393, 75, N/A, 183.60 W
2026/06/03 09:39:20.393, 76, N/A, 180.36 W
2026/06/03 09:39:25.394, 76, N/A, 198.20 W
2026/06/03 09:39:30.394, 73, N/A, 173.07 W
2026/06/03 09:39:35.394, 75, N/A, 187.19 W
2026/06/03 09:39:40.395, 73, N/A, 177.24 W
2026/06/03 09:39:45.395, 75, N/A, 182.30 W
2026/06/03 09:39:50.396, 76, N/A, 177.87 W
2026/06/03 09:39:55.396, 73, N/A, 176.91 W
2026/06/03 09:40:00.397, 72, N/A, 184.54 W
2026/06/03 09:40:05.397, 75, N/A, 185.89 W
2026/06/03 09:40:10.398, 74, N/A, 174.34 W
2026/06/03 09:40:15.398, 77, N/A, 181.16 W
2026/06/03 09:40:20.398, 73, N/A, 171.79 W
2026/06/03 09:40:25.399, 74, N/A, 172.55 W
2026/06/03 09:40:30.399, 74, N/A, 181.29 W
2026/06/03 09:40:35.400, 75, N/A, 189.12 W
2026/06/03 09:40:40.400, 75, N/A, 186.42 W
2026/06/03 09:40:45.401, 74, N/A, 175.04 W
2026/06/03 09:40:50.401, 74, N/A, 180.95 W
2026/06/03 09:40:55.401, 73, N/A, 161.87 W
2026/06/03 09:41:00.402, 73, N/A, 185.59 W
2026/06/03 09:41:05.402, 75, N/A, 178.82 W
2026/06/03 09:41:10.403, 74, N/A, 184.06 W
2026/06/03 09:41:15.403, 73, N/A, 174.97 W
2026/06/03 09:41:20.404, 73, N/A, 176.66 W
2026/06/03 09:41:25.404, 74, N/A, 184.25 W
2026/06/03 09:41:30.405, 76, N/A, 190.74 W
2026/06/03 09:41:35.405, 73, N/A, 177.99 W
2026/06/03 09:41:40.406, 74, N/A, 191.28 W
2026/06/03 09:41:45.406, 74, N/A, 184.17 W
2026/06/03 09:41:50.406, 73, N/A, 173.99 W
2026/06/03 09:41:55.407, 75, N/A, 174.60 W
2026/06/03 09:42:00.408, 75, N/A, 178.90 W
2026/06/03 09:42:05.408, 73, N/A, 176.74 W
2026/06/03 09:42:10.409, 76, N/A, 201.52 W
2026/06/03 09:42:15.409, 73, N/A, 180.46 W
2026/06/03 09:42:20.410, 73, N/A, 183.69 W
2026/06/03 09:42:25.410, 74, N/A, 181.12 W
2026/06/03 09:42:30.411, 76, N/A, 191.77 W
2026/06/03 09:42:35.411, 73, N/A, 178.60 W
2026/06/03 09:42:40.412, 76, N/A, 195.22 W
2026/06/03 09:42:45.412, 75, N/A, 178.19 W
2026/06/03 09:42:50.412, 75, N/A, 190.99 W
2026/06/03 09:42:55.413, 76, N/A, 168.92 W
2026/06/03 09:43:00.414, 73, N/A, 178.45 W
2026/06/03 09:43:05.414, 73, N/A, 177.79 W
2026/06/03 09:43:10.414, 73, N/A, 181.31 W
2026/06/03 09:43:15.415, 73, N/A, 171.97 W
2026/06/03 09:43:20.415, 73, N/A, 177.27 W
2026/06/03 09:43:25.416, 73, N/A, 181.72 W
2026/06/03 09:43:30.416, 73, N/A, 181.71 W
2026/06/03 09:43:35.417, 73, N/A, 171.01 W
2026/06/03 09:43:40.417, 73, N/A, 176.49 W
2026/06/03 09:43:45.418, 73, N/A, 179.38 W
2026/06/03 09:43:50.418, 74, N/A, 184.30 W
2026/06/03 09:43:55.418, 74, N/A, 185.09 W
2026/06/03 09:44:00.419, 74, N/A, 180.13 W
2026/06/03 09:44:05.419, 72, N/A, 182.36 W
2026/06/03 09:44:10.420, 74, N/A, 182.48 W
2026/06/03 09:44:15.420, 74, N/A, 174.97 W
2026/06/03 09:44:20.421, 73, N/A, 185.03 W
2026/06/03 09:44:25.421, 72, N/A, 177.27 W
2026/06/03 09:44:30.421, 74, N/A, 186.59 W
2026/06/03 09:44:35.422, 72, N/A, 174.31 W
2026/06/03 09:44:40.422, 73, N/A, 175.03 W
2026/06/03 09:44:45.423, 73, N/A, 176.61 W
2026/06/03 09:44:50.423, 73, N/A, 181.00 W
2026/06/03 09:44:55.424, 72, N/A, 183.84 W
2026/06/03 09:45:00.424, 74, N/A, 185.60 W
2026/06/03 09:45:05.424, 74, N/A, 175.49 W
2026/06/03 09:45:10.425, 73, N/A, 175.89 W
2026/06/03 09:45:15.425, 73, N/A, 174.33 W
2026/06/03 09:45:20.426, 73, N/A, 169.60 W
2026/06/03 09:45:25.426, 73, N/A, 180.33 W
2026/06/03 09:45:30.427, 74, N/A, 186.60 W
2026/06/03 09:45:35.427, 72, N/A, 175.65 W
2026/06/03 09:45:40.428, 75, N/A, 185.96 W
2026/06/03 09:45:45.428, 73, N/A, 178.21 W
2026/06/03 09:45:50.429, 73, N/A, 178.89 W
2026/06/03 09:45:55.429, 74, N/A, 175.15 W
2026/06/03 09:46:00.430, 74, N/A, 178.47 W
2026/06/03 09:46:05.430, 73, N/A, 173.36 W
2026/06/03 09:46:10.430, 73, N/A, 174.76 W
2026/06/03 09:46:15.431, 73, N/A, 182.29 W
2026/06/03 09:46:20.431, 74, N/A, 178.54 W
2026/06/03 09:46:25.432, 73, N/A, 178.32 W
2026/06/03 09:46:30.432, 73, N/A, 178.43 W
2026/06/03 09:46:35.433, 73, N/A, 177.04 W
2026/06/03 09:46:40.433, 72, N/A, 170.49 W
